Genres,Release_year,Runtime,Language,Adult,Vote_average
"['Adventure', 'Animation', 'Comedy', 'Family', 'Science Fiction']",2025.0,98,en,0,6.936
"['Crime', 'Horror', 'Mystery']",1996.0,112,en,0,7.427
"['Horror', 'Mystery']",2025.0,129,en,0,7.3
"['Action', 'Adventure', 'Science Fiction']",2024.0,109,en,0,6.664
['Horror'],2003.0,81,en,0,1.0
"['Horror', 'Thriller']",2025.0,89,en,0,6.0
['Documentary'],2015.0,82,en,0,8.8
"['Action', 'Adventure', 'Science Fiction']",2025.0,127,en,0,7.292
"['Animation', 'Comedy', 'Fantasy']",2015.0,26,ja,0,10.0
"['Horror', 'Science Fiction']",1979.0,117,en,0,8.166
"['Drama', 'Science Fiction']",2017.0,164,en,0,7.6
"['Crime', 'Drama', 'Fantasy']",1999.0,189,en,0,8.504
"['Crime', 'Drama', 'Thriller']",2025.0,108,en,0,6.061
['Drama'],1977.0,94,it,0,5.1
"['Adventure', 'Animation', 'Family', 'Music']",2017.0,105,en,0,8.199
"['Comedy', 'Drama', 'Thriller']",2026.0,105,en,0,6.5
"['Action', 'Adventure', 'Science Fiction']",2010.0,124,en,0,6.85
"['Adventure', 'Fantasy']",2002.0,161,en,0,7.704
"['Drama', 'Romance']",2025.0,106,ko,0,8.271
"['Action', 'Science Fiction', 'Thriller']",2025.0,120,en,0,7.258
"['Animation', 'Comedy', 'Family']",2001.0,92,en,0,7.846
"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family']",2025.0,104,en,0,7.692
"['Adventure', 'Animation', 'Drama', 'Family', 'Science Fiction']",2024.0,102,en,0,8.312
"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1992.0,72,ja,0,7.378
"['Drama', 'Romance']",2025.0,116,en,0,6.87
"['Horror', 'Mystery']",2025.0,99,en,0,5.474
"['Animation', 'Comedy', 'Family']",1999.0,92,en,0,7.605
"['Adventure', 'Mystery', 'Science Fiction']",2012.0,124,en,0,6.591
"['Comedy', 'Crime', 'Drama']",2013.0,180,en,0,8.026
"['Comedy', 'Drama', 'Mystery']",1993.0,112,en,0,6.427
"['Action', 'Crime']",2003.0,111,en,0,7.971
"['Drama', 'Fantasy', 'Romance']",2024.0,162,en,0,6.918
"['Drama', 'Romance']",2025.0,110,es,0,7.373
"['Action', 'Adventure', 'Science Fiction']",2015.0,141,en,0,7.271
"['Drama', 'Family']",2024.0,131,zh,0,7.867
['Drama'],2014.0,132,ko,0,6.647
