Movie_id,Popularity
708,5.1332
265177,4.7933
61492,4.2819
824,3.5921
10734,5.1995
401981,4.0393
152,4.5715
1832,3.6229
31586,4.9658
11507,5.239
372962,4.6304
619,5.4416
1267,5.2049
582570,4.0378
336882,5.1821
79108,4.597
308639,4.2092
38543,5.1224
200727,5.1648
77140,3.9047
559907,4.0266
11621,4.6811
1051896,5.3176
713364,4.4832
92779,4.0766
581931,3.9044
218043,5.1839
6957,5.6259
667193,4.3537
832075,4.0846
136400,4.1929
1995,5.9897
438660,4.4337
11857,4.3253
649401,4.4354
12471,4.7922
1578,5.1655
78962,4.3246
1386827,4.1514
65496,5.005
38765,5.1024
710295,5.052
926746,4.1787
54989,8.7832
337170,5.0154
49849,4.5345
187826,4.7433
301,4.9886
25237,5.1793
17106,4.0828
702454,4.8556
113653,4.6409
644865,4.0661
279,5.9293
619803,6.062
57214,5.9738
22871,4.5001
1426674,4.9624
1147416,6.5452
487558,4.4281
7270,4.2994
10718,4.7748
55248,4.2065
400610,3.9368
858,4.8794
9072,6.2911
1581,5.6581
18645,4.8232
342434,4.3874
497828,6.1301
1081680,4.3129
9462,5.1208
982932,4.91
2292,4.1728
744275,5.6211
1071038,3.093
974635,5.2392
4257,5.5615
216527,4.4257
4476,5.0345
763,3.9352
315011,4.6726
348060,5.4271
267935,3.7154
1640,4.9095
820525,5.6296
9517,4.37
799882,220.9528
445571,5.0923
441762,4.3081
1026436,5.6209
446354,5.2049
14943,4.0572
1277988,4.1652
16219,4.4276
49520,4.39
938614,4.2725
11619,4.5342
165213,4.8814
820,5.1877
