id,Movie_id
385,1007542
386,280
387,603692
388,73861
389,1371185
390,329865
391,286217
392,244786
393,957119
394,1212742
395,546554
396,429617
397,14836
398,1592032
399,10681
400,694
401,111
402,106
403,156022
404,801937
405,76341
406,38757
407,228150
408,1511789
409,823219
410,1291335
411,822119
412,670
413,284054
414,283995
415,58
416,37165
417,198663
418,129875
419,1205229
420,1336189
421,1542418
422,335983
423,68721
424,687163
425,1246300
426,51876
427,1217602
428,829557
429,18785
430,271110
431,324786
432,28
433,694
434,466272
435,152601
436,573435
437,225819
438,558449
439,260514
440,4935
441,2062
442,604079
443,1304313
444,298618
445,73861
446,1064213
447,980026
448,559
449,10191
450,786892
451,290098
452,507089
453,11688
454,408808
455,1379963
456,21948
457,1370814
458,9502
459,1013446
460,386716
461,875828
462,389
463,474350
464,507086
465,696506
466,18785
467,351809
468,1379963
469,152601
470,953902
471,4935
472,646385
473,369877
474,396535
475,507089
476,1217602
477,30112
478,28235
479,1475490
480,766507
481,1215106
482,1011477
483,1252309
484,679
485,257344
486,801335
487,1456349
488,1034716
489,566525
490,177572
491,23527
492,297090
493,438263
494,605722
495,854
496,1097549
497,1429520
498,339408
499,27066
500,39254
501,1084199
502,10195
503,135397
504,103
505,1397364
506,315162
507,588
508,447273
509,1590097
510,718930
511,934433
512,102899
513,1426776
514,646385
515,762509
516,436969
517,1138194
518,350
519,575264
520,809
521,313369
522,786892
523,10065
524,281957
525,6977
526,1456349
527,718930
528,1370814
529,1357633
530,558449
531,56434
532,138843
533,1138194
534,28
535,854
536,419430
537,408808
538,588
539,68726
540,1495
541,78
542,350
543,1097549
544,1196573
545,62
546,284053
547,18
548,436969
549,508442
550,1064213
551,1514044
552,242582
553,333339
554,207
555,545611
556,1433842
557,801335
558,615453
559,324544
560,1064213
561,138843
562,1072790
563,640
564,453395
565,359410
566,49013
567,941109
568,419430
569,46738
570,652
571,207
572,50546
573,314788
574,845781
575,13494
576,1180367
577,505642
578,150689
579,1124
580,9806
581,102382
582,38
583,14161
584,1426776
585,384018
586,652
587,273481
588,840326
589,667538
590,561
591,324552
592,38365
593,980026
594,120467
595,1422
596,140607
597,582417
598,20352
599,1241752
600,120467
601,474350
602,615457
603,57158
604,10674
605,85877
606,62
607,744
608,561
609,749170
610,1562
611,1161617
612,1627796
613,615453
614,25095
615,4348
616,840326
617,38365
618,524434
619,698687
620,1232449
621,749170
622,57158
623,640
624,539
625,150689
626,180703
627,1429520
628,4247
629,941109
630,857
631,711978
632,810
633,755679
634,72190
635,10625
636,1087891
637,845781
638,50646
639,629
640,72190
641,10625
642,1087891
643,50646
644,1589891
645,629
646,1376434
647,1119090
648,791373
649,985939
650,645710
651,744
652,616037
653,146233
654,1275779
655,1140498
656,383498
657,15854
658,131631
659,1151272
660,857
661,604
662,488042
663,601
664,128
665,166426
666,1734
667,1196573
668,1275779
669,102651
670,1442908
671,1241752
672,49521
673,490132
674,221889
675,615777
676,207703
677,407514
678,426063
679,181808
680,746036
681,146233
682,1111873
683,936108
684,976573
685,1590097
686,601
687,1618945
688,46873
689,60072
690,423502
691,818647
692,566525
693,141052
694,50546
695,166426
696,339692
697,493529
698,118
699,12155
700,493529
701,118
702,12155
703,141052
704,314788
705,297802
706,524434
707,51876
708,359410
709,698508
710,1010756
711,25095
712,1233506
713,1032823
714,1266992
715,1382406
716,920
717,410119
718,840705
719,302946
720,840705
721,10144
722,630
723,242
724,70345
725,1724
726,311
727,507244
728,205596
729,1328803
730,370172
731,91314
732,1111873
733,291805
734,18239
735,127585
736,168259
737,7131
738,926393
739,493529
740,109991
741,1475637
742,1161617
743,1542418
744,519465
745,1071640
746,3933
747,1186350
748,41446
749,49521
750,259316
751,1422211
752,1209770
753,447332
754,787699
755,1734
756,107
757,330457
758,616037
759,745
760,13494
761,70345
762,105825
763,635302
764,137113
765,760329
766,7131
767,990485
768,1531626
769,1356454
770,756999
771,185
772,410119
773,1032823
774,926393
775,1462229
776,420818
777,772462
778,118340
779,1417
780,387848
781,1009640
782,772462
783,621
784,1103437
785,978592
786,10198
787,9637
788,1280450
789,9757
790,246655
791,615173
792,118340
793,87
794,580489
795,11224
796,637
797,8392
798,1273948
799,1265609
800,1357886
801,588228
802,1286185
803,1364608
804,1359
805,560360
806,338970
807,273248
808,110415
809,8392
810,9552
811,607
812,4233
813,91314
814,1009640
815,131631
816,381288
817,1152491
818,1246300
819,1267319
820,9470
821,398818
822,499546
823,62835
824,1208561
825,76338
826,1091
827,9659
828,4233
829,10830
830,41446
831,259693
832,197
833,1018
834,21484
835,245891
836,420817
837,1072699
838,9552
839,316029
840,571
841,868759
842,1813
843,330457
844,1152491
845,274855
846,37135
847,1359607
848,423
849,550988
850,37724
851,137113
852,493922
853,7446
854,787699
855,593643
856,607
857,585511
858,940551
859,1364608
860,1263256
861,168259
862,137
863,978592
864,66245
865,293167
866,9769
867,87
868,339403
869,615173
870,11836
871,5559
872,1359607
873,378064
874,119450
875,76338
876,23483
877,917496
878,752
879,299054
880,98566
881,359724
882,889737
883,9479
884,346910
885,493922
886,74
887,197
888,2048
889,161
890,507244
891,1290182
892,421892
893,335977
894,10144
895,1480382
896,600
897,1091
898,1029575
899,1442908
900,87101
901,246655
902,640146
903,299537
904,50619
905,1221451
906,1445363
907,1265
908,1200320
909,810693
910,311
911,82702
912,579974
913,1208561
914,7446
915,44214
916,1103437
917,10192
918,10198
919,377
920,76492
921,868759
922,466420
923,1265609
924,661374
925,1273948
926,954
927,7345
928,748783
929,1593
930,360784
931,500
932,312221
933,1533474
934,593643
935,436270
936,4234
937,101299
938,1367642
939,598
940,537915
941,50620
942,204082
943,260346
944,64690
945,258942
946,986097
947,1205515
948,460458
949,585083
950,63
951,1125257
952,9757
953,6479
954,353081
955,940721
956,162
957,2109
958,620
959,79646
960,399402
961,27578
962,49444
963,37135
964,499546
965,260513
966,602
967,308624
968,1241894
969,1124619
970,49530
971,508943
972,1084736
973,140530
974,1701
975,281338
976,937941
977,621
978,454626
979,1813
980,43949
981,818397
982,1368
983,157350
984,10591
985,770
986,348893
987,149
988,398978
989,1588846
990,530915
991,141
992,359724
993,1420733
994,1305717
995,2322
996,115
997,1083433
998,59967
999,320288
1000,343668
1001,47971
1002,1327881
1003,166428
1004,60898
1005,713704
1006,979
1007,9659
1008,1280450
1009,1949
1010,49519
1011,1114967
1012,398978
1013,140300
1014,983507
1015,8355
1016,18239
1017,38700
1018,276126
1019,1072699
1020,4922
1021,157350
1022,1233506
1023,438148
1024,11224
1025,338803
1026,34851
1027,348893
1028,27
1029,1136867
1030,423108
1031,1394098
1032,510
1033,787
1034,82690
1035,270303
1036,402900
1037,1268127
1038,1305717
1039,1927
1040,72105
1041,336843
1042,974663
1043,668489
1044,974576
1045,479718
1046,315837
1047,537915
1048,1366745
1049,2322
1050,37799
1051,9378
1052,1394098
1053,532794
1054,337339
1055,1892
1056,312221
1057,1296504
1058,497582
1059,1205515
1060,124905
1061,1374686
1062,251
1063,346
1064,524
1065,776503
1066,176
1067,9378
1068,79871
1069,438695
1070,93456
1071,512200
1072,2493
1073,585511
1074,2280
1075,177677
1076,627
1077,648457
1078,75612
1079,315837
1080,484641
1081,796
1082,1429605
1083,5548
1084,605
1085,74
1086,508943
1087,1949
1088,1180417
1089,4588
1090,408
1091,35
1092,639720
1093,1114967
1094,843527
1095,194
1096,10315
1097,64690
1098,254
1099,88
1100,11544
1101,1194963
1102,646380
1103,1208808
1104,329
1105,308266
1106,1090983
1107,169
1108,915935
1109,8835
1110,21484
1111,19913
1112,567609
1113,1296504
1114,625976
1115,1433371
1116,1489187
1117,4011
1118,882569
1119,310131
1120,50014
1121,11635
1122,70136
1123,754561
1124,591
1125,393
1126,5175
1127,1319895
1128,263132
1129,7445
1130,602
1131,9778
1132,594
1133,2280
1134,299054
1135,254128
1136,10527
1137,1208808
1138,95
1139,177677
1140,303857
1141,268
1142,937287
1143,974663
1144,1895
1145,36647
1146,1127110
1147,851644
1148,59967
1149,64682
1150,35
1151,10315
1152,1400224
1153,4977
1154,9603
1155,1522923
1156,2649
1157,616
1158,762975
1159,986206
1160,8920
1161,56292
1162,13183
1163,13186
1164,400535
1165,263132
1166,1306245
1167,43949
1168,1108427
1169,724890
1170,532794
1171,1255674
1172,1301122
1173,1313003
1174,1250
1175,254
1176,1771
1177,497582
1178,1290879
1179,38055
1180,1245993
1181,497582
1182,381284
1183,624860
1184,1290879
1185,549509
1186,1140535
1187,1149504
1188,38055
1189,10634
1190,335
1191,7512
1192,1370123
1193,1608982
1194,1933
1195,49797
1196,5175
1197,425909
1198,75780
1199,193551
