Movie_id,Vote_average,Vote_count
353081,7.448,8966
940721,7.579,3007
162,7.718,13592
2109,7.061,5508
620,7.496,9586
79646,6.2,10
399402,6.899,2338
27578,6.249,8152
49444,7.059,7733
37135,7.395,7208
499546,5.414,111
260513,7.453,13510
602,6.899,10221
308624,5.0,5
1241894,6.333,69
1124619,5.617,171
49530,6.97,11972
508943,7.786,8823
1084736,7.925,1943
140530,4.9,14
1701,6.764,4578
281338,7.216,9570
937941,5.8,189
621,7.374,7576
454626,7.29,10257
1813,7.466,6624
43949,8.001,3263
818397,6.74,1624
1368,7.502,6762
157350,6.909,13317
10591,6.735,3912
770,7.92,4307
348893,7.181,1424
149,7.942,4648
398978,7.576,7360
1588846,6.25,4
530915,8.0,13303
141,7.8,13207
359724,8.005,8776
1420733,6.5,6
1305717,6.713,80
2322,6.91,1026
115,7.839,11960
1083433,5.751,666
59967,6.9,10705
320288,5.961,6957
343668,7.0,10975
47971,6.1,9172
1327881,4.786,14
166428,7.748,6974
60898,6.12,92
713704,6.918,3529
979,7.176,3205
9659,6.677,4844
1280450,6.235,136
1949,7.527,11347
49519,6.9,7433
1114967,6.986,473
398978,7.576,7360
140300,6.921,6466
983507,6.364,338
8355,6.761,8748
18239,5.992,9642
38700,7.121,8632
276126,6.2,18
1072699,6.517,89
4922,7.597,13514
157350,6.909,13317
1233506,5.908,60
438148,7.276,3937
11224,7.045,7051
338803,6.062,89
34851,6.295,4510
348893,7.181,1424
27,5.532,563
1136867,6.403,1042
423108,7.363,6426
1394098,5.0,1
510,8.4,11223
787,6.69,11045
82690,7.354,12912
270303,6.587,6805
402900,7.0,8687
1268127,6.5,4
1305717,6.713,80
1927,5.579,6178
72105,6.448,12981
336843,7.086,8273
974663,6.404,47
668489,6.373,1153
974576,7.191,3202
479718,7.668,516
315837,6.1,8440
537915,7.111,8474
1366745,4.292,12
2322,6.91,1026
37799,7.371,12928
9378,6.286,2315
1394098,5.0,1
532794,6.1,12
337339,6.857,10703
1892,7.904,16672
312221,7.402,7846
1296504,4.5,61
497582,7.235,6449
1205515,6.8,233
124905,6.352,9611
1374686,8.468,31
251,7.228,5910
346,8.451,4120
524,8.0,6390
776503,7.895,2500
176,7.419,9884
9378,6.286,2315
79871,6.3,41
438695,7.834,4704
93456,6.942,11850
512200,6.878,9212
2493,7.692,4979
585511,7.74,1902
2280,7.182,3933
177677,7.221,9547
627,7.959,10233
648457,7.5,18
75612,6.667,11304
315837,6.1,8440
484641,6.711,2925
796,6.798,3497
1429605,6.186,43
5548,7.4,5592
605,6.748,10597
74,6.531,8977
508943,7.786,8823
1949,7.527,11347
1180417,4.5,32
4588,7.251,776
408,7.123,7884
35,7.019,8432
639720,6.982,1544
1114967,6.986,473
843527,7.318,1866
194,7.916,12225
10315,7.813,5953
64690,7.6,13380
254,6.887,8359
88,7.328,6423
11544,7.562,6977
1194963,6.226,42
646380,7.063,9126
1208808,6.381,181
329,7.965,17551
308266,6.935,5364
1090983,5.592,38
169,6.3,3715
915935,7.531,3150
8835,6.806,4439
21484,7.331,1277
19913,7.298,10852
567609,7.041,5099
1296504,4.5,61
625976,6.533,46
1433371,8.0,4
1489187,8.0,7
4011,7.367,8293
882569,7.7,3056
310131,6.996,7518
1160956,6.792,260
399566,7.544,10489
1134754,5.8,32
1295026,7.778,72
1245993,6.913,770
464052,6.375,8934
1891,8.392,18093
1326106,7.914,81
23168,7.217,5501
571,7.515,4385
484641,6.711,2925
489179,6.0,4
341174,6.475,7875
1305715,8.0,4
13475,7.429,10333
8363,7.259,7897
275,7.847,8898
718821,6.782,2832
270946,6.53,4402
1432046,0.0,0
303857,6.857,1988
268,7.2,8412
937287,6.9,2567
974663,6.404,47
1895,7.46,14685
36647,6.822,6552
1127110,7.328,201
851644,8.1,795
59967,6.9,10705
64682,7.355,12815
35,7.019,8432
10315,7.813,5953
1400224,5.5,4
4977,7.814,2771
