Release_year,Runtime,Language,Adult,Vote_average
2023.0,127,da,0,7.687
2014.0,100,en,0,8.031
2006.0,151,en,0,8.159
2015.0,136,en,0,7.2
2007.0,24,ja,0,0.0
2010.0,95,en,0,7.256
2024.0,113,tl,0,6.0
2007.0,124,en,0,7.12
2025.0,89,es,0,6.229
1999.0,122,en,0,8.002
2022.0,107,en,0,7.111
2006.0,117,en,0,7.886
2021.0,134,en,0,8.0
2006.0,144,en,0,7.569
2018.0,105,en,0,6.678
2007.0,99,en,0,6.605
2025.0,102,en,0,6.991
2014.0,97,en,0,7.087
2000.0,143,en,0,7.66
2022.0,100,en,0,7.666
1991.0,84,en,0,7.724
2025.0,82,en,0,6.195
1984.0,120,es,0,5.5
2004.0,109,en,0,6.934
2024.0,99,nl,0,8.393
2025.0,117,en,0,6.846
2013.0,161,en,0,7.574
1960.0,109,en,0,8.417
1943.0,58,en,0,6.0
2025.0,100,en,0,7.041
2000.0,88,en,0,6.381
1998.0,169,en,0,8.2
2020.0,69,ko,0,4.429
2007.0,93,en,0,6.304
2013.0,116,en,0,6.823
2004.0,97,en,0,7.222
2025.0,123,en,0,6.954
2011.0,118,en,0,7.269
1995.0,106,en,0,8.169
2025.0,107,es,0,7.5
2025.0,85,en,0,7.821
2025.0,104,es,0,8.295
2021.0,242,en,0,8.096
2021.0,117,en,0,6.511
1986.0,110,en,0,7.059
2022.0,119,en,0,6.377
2013.0,153,en,0,8.102
2025.0,121,en,0,6.778
2018.0,120,en,0,7.489
2008.0,25,en,0,6.784
2014.0,123,en,0,6.817
2025.0,115,es,0,6.799
2016.0,129,en,0,6.829
2015.0,121,en,0,7.227
2024.0,104,en,0,7.994
2013.0,116,en,0,7.332
2023.0,124,en,0,6.5
1990.0,120,en,0,7.455
2017.0,129,en,0,6.968
2025.0,98,en,0,6.454
2018.0,129,en,0,6.532
2015.0,91,ko,0,7.0
2026.0,100,en,0,6.286
2011.0,96,en,0,6.758
2008.0,114,en,0,6.231
2005.0,128,en,0,8.052
2011.0,82,zh,0,5.6
2014.0,101,en,0,7.454
2024.0,127,en,0,6.958
2024.0,109,en,0,6.677
2025.0,89,en,0,5.87
2023.0,102,en,0,7.582
1982.0,115,en,0,7.511
2026.0,95,en,0,6.2
2010.0,120,de,0,6.0
2005.0,72,ja,0,5.0
2016.0,78,ko,0,4.5
2022.0,112,es,0,7.349
2021.0,132,en,0,7.496
2017.0,120,en,0,6.1
2017.0,129,en,0,6.653
2017.0,121,en,0,6.952
2023.0,134,en,0,7.329
2005.0,115,en,0,7.039
2010.0,108,en,0,6.637
2018.0,143,en,0,6.868
2021.0,156,en,0,6.8
2022.0,134,en,0,7.862
2025.0,98,en,0,6.1
1992.0,105,en,0,6.628
2025.0,99,fr,0,5.908
2024.0,105,en,0,6.237
2024.0,98,tl,0,5.3
2024.0,106,zh,0,7.454
2006.0,117,en,0,7.021
1987.0,90,zh,0,5.2
2024.0,102,en,0,6.671
2016.0,128,en,0,7.133
2025.0,113,en,0,6.4
1939.0,102,en,0,7.587
2018.0,130,en,0,8.222
2011.0,108,en,0,6.639
2025.0,94,en,0,6.419
1999.0,97,en,0,7.589
2004.0,127,en,0,7.52
2007.0,116,en,0,7.192
2005.0,86,en,0,6.921
2017.0,132,en,0,8.096
1996.0,98,en,0,7.17
2025.0,97,en,0,6.01
1995.0,92,en,0,5.619
2025.0,120,tr,0,6.3
2025.0,97,ko,0,6.5
2026.0,92,en,0,3.7
2023.0,141,en,0,7.655
2019.0,147,en,0,7.152
2022.0,100,en,0,7.32
1957.0,340,ru,0,6.2
2025.0,100,en,0,7.043
2019.0,127,da,0,6.902
2026.0,110,zh,0,0.0
2005.0,77,en,0,7.585
2024.0,145,ml,0,6.5
2011.0,111,en,0,6.473
2013.0,143,en,0,6.639
2016.0,133,en,0,7.3
2025.0,38,mn,0,6.818
2024.0,106,tl,0,4.067
2018.0,91,en,0,7.393
2023.0,117,en,0,7.041
2001.0,130,en,0,6.393
2000.0,103,en,0,7.816
2019.0,103,en,0,7.235
1999.0,107,en,0,7.948
1973.0,99,en,0,5.156
1992.0,94,zh,0,5.5
2020.0,117,ja,0,8.203
2014.0,114,en,0,7.634
2025.0,123,en,0,6.461
2004.0,132,en,0,6.392
2022.0,112,tl,0,5.7
2026.0,63,en,0,7.5
2025.0,122,zh,0,4.762
2022.0,103,en,0,7.536
1971.0,137,en,0,8.18
2023.0,109,en,0,7.291
2026.0,126,zh,0,7.0
2019.0,118,en,0,7.097
2025.0,83,es,0,6.3
2014.0,121,en,0,7.905
2006.0,118,es,0,7.757
2015.0,101,ko,0,5.7
2025.0,86,en,0,6.757
1978.0,110,en,0,7.374
2025.0,94,en,0,6.2
2024.0,112,en,0,6.981
2009.0,98,en,0,7.215
2002.0,87,en,0,6.099
2025.0,110,en,0,6.235
2007.0,102,en,0,5.673
2016.0,144,en,0,6.519
2022.0,137,ko,0,7.363
1984.0,118,en,0,7.304
2021.0,97,en,0,6.752
1950.0,74,en,0,7.045
1997.0,116,it,0,8.44
1988.0,86,ja,0,8.062
2026.0,120,zh,0,0.0
2026.0,107,en,0,0.0
2024.0,84,it,0,5.958
2021.0,138,en,0,7.478
2025.0,94,en,0,5.561
2025.0,125,en,0,6.1
2000.0,102,en,0,7.4
1909.0,16,en,0,4.2
2018.0,118,en,0,6.369
2015.0,188,en,0,7.8
2013.0,127,ko,0,6.908
1973.0,122,en,0,7.74
1997.0,98,en,0,7.216
1997.0,120,en,0,6.509
2014.0,165,en,0,5.957
2017.0,117,en,0,7.342
2023.0,105,tl,0,4.429
2025.0,113,ko,0,6.232
2014.0,132,en,0,7.529
2004.0,136,en,0,7.9
2024.0,125,en,0,6.793
2019.0,122,en,0,7.244
1999.0,95,en,0,6.601
2021.0,163,en,0,7.347
1997.0,94,en,0,7.607
2015.0,24,zh,0,5.0
2008.0,112,hi,0,0.0
2025.0,95,ko,0,6.679
2024.0,109,en,0,6.845
2017.0,105,en,0,7.866
2021.0,23,nl,0,8.5
2021.0,115,en,0,7.456
2017.0,107,en,0,7.449
2026.0,32,en,0,7.143
2024.0,107,en,0,6.991
1990.0,162,en,0,7.419
1963.0,119,en,0,7.515
2023.0,117,en,0,6.898
1997.0,144,en,0,7.466
2017.0,109,en,0,6.111
1999.0,88,en,0,7.395
2025.0,104,ja,0,8.1
2002.0,150,en,0,8.375
2012.0,143,en,0,7.257
2018.0,128,en,0,7.292
2008.0,107,en,0,6.702
2022.0,107,en,0,7.168
2022.0,105,en,0,7.74
2023.0,83,en,0,7.353
2025.0,115,en,0,6.544
2015.0,139,en,0,7.219
1993.0,101,en,0,7.624
1997.0,165,ta,0,7.3
2017.0,118,en,0,6.6
1997.0,137,en,0,7.103
2017.0,113,en,0,7.442
2004.0,87,en,0,7.07
2007.0,91,en,0,6.028
2016.0,129,ja,0,8.4
2014.0,130,en,0,7.336
2013.0,112,en,0,6.51
2010.0,118,en,0,7.1
2024.0,105,en,0,6.944
2006.0,132,en,0,7.898
2023.0,103,en,0,6.08
2014.0,101,en,0,5.925
2019.0,153,en,0,8.005
2024.0,138,en,0,5.397
1993.0,76,en,0,7.831
2018.0,107,en,0,5.63
2005.0,117,en,0,6.531
1995.0,178,en,0,7.941
2004.0,115,en,0,6.96
2001.0,116,en,0,7.455
2025.0,105,en,0,6.471
2025.0,102,ko,0,8.52
2023.0,155,en,0,6.513
1989.0,83,en,0,7.4
2025.0,89,ar,0,8.117
1987.0,117,en,0,8.121
1982.0,109,en,0,8.067
2023.0,118,en,0,7.231
2026.0,18,en,0,6.9
2015.0,126,en,0,5.949
2023.0,125,en,0,6.2
2019.0,124,en,0,6.785
2011.0,117,en,0,6.193
2024.0,114,tl,0,4.5
2026.0,98,en,0,8.1
2007.0,95,en,0,7.305
2025.0,108,en,0,4.614
2021.0,105,ja,0,8.118
1984.0,229,en,0,8.387
2014.0,102,en,0,7.678
2022.0,185,te,0,7.723
2024.0,101,en,0,6.357
2010.0,108,en,0,7.686
2010.0,93,en,0,6.4
1984.0,91,en,0,7.342
2012.0,91,en,0,6.963
2023.0,206,en,0,7.406
2022.0,140,en,0,7.034
1996.0,111,en,0,7.019
2007.0,158,en,0,8.077
2024.0,101,en,0,7.009
2006.0,108,en,0,6.596
2015.0,83,en,0,6.893
1992.0,99,en,0,8.117
2015.0,133,en,0,7.402
2001.0,50,ja,0,0.0
2022.0,125,en,0,6.8
2000.0,116,en,0,6.006
2013.0,146,en,0,7.4
2026.0,114,en,0,0.0
2002.0,129,pt,0,8.428
2019.0,106,en,0,7.111
2012.0,115,en,0,6.458
2013.0,100,en,0,6.935
2014.0,109,en,0,6.26
2011.0,100,en,0,7.6
1976.0,85,es,0,3.857
2025.0,96,en,0,5.745
2025.0,104,en,0,6.8
2021.0,107,en,0,5.942
2022.0,92,en,0,7.044
1995.0,129,en,0,7.601
2025.0,110,en,0,6.9
2007.0,101,en,0,7.21
2018.0,147,en,0,7.448
2023.0,124,ja,0,7.579
1990.0,105,en,0,7.718
1998.0,97,en,0,7.061
1984.0,107,en,0,7.496
1955.0,78,en,0,6.2
2018.0,121,en,0,6.899
2010.0,103,en,0,6.249
2011.0,91,en,0,7.059
2018.0,100,nl,0,5.414
2018.0,118,en,0,7.453
1996.0,145,en,0,6.899
2014.0,94,ko,0,5.0
2024.0,103,de,0,6.333
2025.0,105,en,0,5.617
2011.0,109,en,0,6.97
2021.0,95,en,0,7.786
2024.0,178,fr,0,7.925
1982.0,66,ja,0,4.9
1997.0,116,en,0,6.764
2017.0,140,en,0,7.216
2025.0,91,en,0,5.8
2020.0,99,en,0,7.29
2010.0,89,en,0,8.001
2022.0,114,en,0,6.74
1982.0,93,en,0,7.502
2014.0,140,en,0,6.909
2004.0,110,en,0,6.735
1939.0,233,en,0,7.92
2016.0,87,en,0,7.181
1988.0,124,ja,0,7.942
2019.0,209,en,0,7.576
2025.0,107,tl,0,6.25
2019.0,119,en,0,8.0
2001.0,114,en,0,7.8
2025.0,89,en,0,6.713
1992.0,125,en,0,6.91
1998.0,117,en,0,7.839
2025.0,111,en,0,5.751
2012.0,118,en,0,6.9
2019.0,114,en,0,5.961
2017.0,141,en,0,7.0
2017.0,107,en,0,6.1
2024.0,90,en,0,4.786
2019.0,104,en,0,7.748
1990.0,88,zh,0,6.12
2023.0,96,en,0,6.918
2002.0,93,fr,0,7.176
1979.0,91,en,0,6.677
2007.0,157,en,0,7.527
2013.0,99,en,0,6.9
2025.0,97,en,0,6.986
2016.0,95,en,0,6.921
2022.0,80,no,0,6.364
2009.0,94,en,0,6.761
2009.0,131,en,0,5.992
2020.0,124,en,0,7.121
2014.0,89,ko,0,6.2
2025.0,166,pl,0,6.517
2008.0,166,en,0,7.597
2022.0,87,en,0,7.276
2015.0,133,ko,0,6.062
2010.0,107,en,0,6.295
2004.0,70,en,0,5.532
2025.0,116,en,0,6.403
2021.0,111,en,0,7.363
2026.0,87,ko,0,5.0
1975.0,133,en,0,8.4
2005.0,120,en,0,6.69
2012.0,101,en,0,7.354
2015.0,101,en,0,6.587
2018.0,111,en,0,7.0
2026.0,120,ko,0,6.5
2003.0,138,en,0,5.579
2012.0,107,en,0,6.448
2018.0,143,en,0,7.086
2024.0,98,en,0,6.404
2025.0,107,en,0,6.373
2024.0,120,en,0,7.191
2017.0,121,ko,0,7.668
2017.0,107,en,0,6.1
2025.0,104,es,0,4.292
2010.0,121,en,0,7.371
2001.0,91,en,0,6.286
2017.0,121,ko,0,6.1
2017.0,136,en,0,6.857
1983.0,132,en,0,7.904
2025.0,100,en,0,4.5
2020.0,123,en,0,7.235
2014.0,123,en,0,6.352
2025.0,84,en,0,8.468
1990.0,127,en,0,7.228
1954.0,207,ja,0,8.451
1995.0,179,en,0,8.0
2021.0,112,en,0,7.895
2004.0,103,en,0,7.419
1993.0,77,zh,0,6.3
2021.0,110,en,0,7.834
2013.0,98,en,0,6.942
2019.0,123,en,0,6.878
1987.0,99,en,0,7.692
1988.0,104,en,0,7.182
2015.0,131,en,0,7.221
1996.0,94,en,0,7.959
2022.0,90,ja,0,7.5
2013.0,124,en,0,6.667
2019.0,119,en,0,6.711
1999.0,98,en,0,6.798
2026.0,95,en,0,6.186
1987.0,102,en,0,7.4
2003.0,129,en,0,6.748
2026.0,95,en,0,4.5
2007.0,158,zh,0,7.251
1938.0,83,en,0,7.123
