Movie_id,Poster_path,Backdrop_path
1198994,/kL4MgAIZIYX3sCeG34N0XfVhCtt.jpg,/hO2jx1H3XafR7Y8QbFgVH1sHTY9.jpg
10929,/hRVP8Ud9ehv7tp5WWQ4CHk2XNus.jpg,/xH9BdS2DzkX20Ly9FG8Iwczi3M.jpg
1234821,/1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg,/zNriRTr0kWwyaXPzdg1EIxf0BWk.jpg
639988,/sBpxTGLzKnvPSVtL5yQYpSxvKEb.jpg,/vuUDwAi9UgLyNN9xZLtKTaLQWnl.jpg
1242015,/okfaa71H1P0WC1uzYliOgYS2gte.jpg,/7UsW6pKkCdCmceBmdQ0MvV6zKhL.jpg
1242937,/hGH8Ji7pG2ytHxo7ABqHM3TpzFA.jpg,/fAF3VGFBpItWNROmiGob60n0y5.jpg
1287141,/7Pd6ChSQjSXy4snJiorSdzg2cG3.jpg,/rBYrtkAy9YtRuFpX1g6JbcjRT8h.jpg
1266990,/AnzrE2WHg3DtZrtmB9AnEbAh17m.jpg,/mBc6RB7VajfykLqGx0ue7qatXky.jpg
11065,/u8mFQU3YwNvZWcATncaAHUfEEMr.jpg,/fc2mifxyCXyr66FMSmsfUXVREEg.jpg
650524,/h3OUaPfCaFmzwB2eMHik50RsXlP.jpg,/gpJr8wRED8BpBVaxM0eODQEBNwC.jpg
1233413,/qTvFWCGeGXgBRaINLY1zqgTPSpn.jpg,/nAxGnGHOsfzufThz20zgmRwKur3.jpg
1223601,/jNsttCWZyPtW66MjhUozBzVsRb7.jpg,/yCatt8lmp3oRFEcOZF8KHhsiASQ.jpg
76600,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,/cd8YDn7M0lfaHhZdU6MvCDxPalP.jpg
19995,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg
575265,/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg,/538U9snNc2fpnOmYXAPUh3zn31H.jpg
1215185,/4DKDLOEP14XCRJgDeSK9LWcPXc2.jpg,/aJ3tiwuqRWgjvMonTC8499BCBi4.jpg
982843,/1tUOZQDgZaGqZtrB21MieiXARL2.jpg,/8vLt9TYFZdAwYtqImvggTM5yFnF.jpg
1326878,/v6hYeC1asK2ZRU7Ygukn4tV1zlS.jpg,/xGbNoh7aWmU81oYuxJoFI07Rz5I.jpg
1243460,/jWGOCUlzF4aCVLwHoiuqWWfhcrA.jpg,/dbr3eceKuGnKc9v5GaVTVtegZNK.jpg
10774,/qZomlHsaALUtkFeMDwdYmwS2Pbo.jpg,/of6OQnsvPHXEASczrBc3nVsMZ7q.jpg
